Ticker,sector
VRTX,Health Care
VST,Utilities
VTRS,Health Care
VZ,Communication Services
WAB,Industrials
WAT,Health Care
WDAY,Information Technology
WDC,Information Technology
WEC,Utilities
WELL,Real Estate
WFC,Financials
WHR,Consumer Discretionary
WM,Industrials
WMB,Energy
WMT,Consumer Staples
WRB,Financials
WSO,Industrials
WST,Health Care
WTW,Financials
WY,Real Estate
WYNN,Consumer Discretionary
XEL,Utilities
XOM,Energy
YUM,Consumer Discretionary
ZBH,Health Care
ZBRA,Information Technology
ZS,Information Technology
